cytoband	13q14.12	21q22.3	10q23.31	5q11.2	8p21.2	6q15	12p13.1	16q24.1	16q22.2	17p13.1	5q13.2	1p36.22	18q22.3	9p21.3	5q22.3	1p31.3	15q11.2	2q31.1	1q32.3	9p24.2	4q35.1	
												C1orf204										
												C1orf111										
												LINC01142										
												ZNF326										
												BTBD8										
												RIMKLA										
												SLC25A34										
												ESPNP										
												LIN9										
												HIST2H2AB										
												PPM1J										
												HIST2H3A										
												HIST2H2BC										
												HIST2H2BA										
												FAM151A										
												S100A7A										
												RAB7B										
												LINGO4										
												FLG-AS1										
												RXFP4										
												ANKRD45										
												LINC01343										
												C1orf174										
												KLHL17										
												TMEM240										
												TMEM52										
												BRINP3										
												MTMR9LP										
												ZBTB8OS										
												TFAP2E										
												ZNF678										
												PRSS38										
												LINC01141										
												CCDC190										
												LINC01140										
												LOC339539										
												C1orf228										
												ZFP69										
												RD3										
												LOC343052										
												AADACL4										
												PRAMEF5										
												HNRNPCL1										
												PRAMEF10										
												CCDC18										
												MYBPHL										
												OR10R2										
												FCRL6										
												KCNT2										
												BARHL2										
												NBPF7										
												TCTEX1D4										
												SERINC2										
												FAM159A										
												FAM131C										
												LCE1A										
												LCE1B										
												LCE1C										
												LCE1D										
												LCE1E										
												LCE1F										
												LCE2A										
												LCE2C										
												LCE2D										
												LCE3A										
												LCE3B										
												LCE3C										
												LCE3E										
												PADI6										
												RGSL1										
												BMP8A										
												IRF2BP2										
												ZBTB41										
												CYCSP52										
												DRAXIN										
												SPATA21										
												SVBP										
												TEX38										
												MROH7										
												MIGA1										
												NEXN-AS1										
												PEAR1										
												SFT2D2										
												MIA3										
												STUM										
												FAM89A										
												AGRN										
												RPS10P7										
												CENPS										
												CATSPER4										
												NSUN4										
												GPR153										
												ILDR2										
												FAM132A										
												HES5										
												SMIM1										
												RNF207										
												TMEM82										
												TRNP1										
												CD164L2										
												TRABD2B										
												LDLRAD1										
												GBP7										
												C1orf146										
												FAM69A										
												SLC6A17										
												C1orf137										
												NOTCH2NL										
												LINC01138										
												LOC388692										
												LYSMD1										
												HRNR										
												FLG2										
												C1orf189										
												FMO6P										
												LINC00272										
												C1orf53										
												TMEM81										
												CAPN8										
												COA6										
												HES3										
												PRAMEF12										
												PRAMEF8										
												PRAMEF18										
												PRAMEF17										
												PLA2G2C										
												SKINT1L										
												UOX										
												FRRS1										
												VHLL										
												OR10K2										
												OR10K1										
												OR6Y1										
												OR6K3										
												VSIG8										
												TMEM200B										
												FAM87B										
												PRAMEF4										
												PRAMEF13										
												SH2D5										
												NCMAP										
												LINC01144										
												C1orf141										
												GBP1P1										
												FLJ27354										
												MIR137HG										
												C1orf226										
												LOC400794										
												C1orf220										
												LINC01344										
												C1orf140										
												NBPF9										
												FAM177B										
												RNF223										
												LDLRAD2										
												ZNF847P										
												CSMD2-AS1										
												APOBEC4										
												MIR101-1										
												MIR137										
												MIR181B1										
												MIR186										
												MIR194-1										
												MIR197										
												MIR199A2										
												MIR200A										
												MIR200B										
												MIR205										
												MIR181A1										
												MIR214										
												MIR215										
												MIR29B2										
												MIR29C										
												MIR30C1										
												MIR30E										
												MIR34A										
												MIR9-1										
												MGC34796										
												RGS21										
												LHX8										
												LINC01555										
												LINC00982										
												PRAMEF11										
												PRAMEF6										
												HNRNPCL2										
												UQCRHL										
												MINOS1										
												SLC2A1-AS1										
												FAM183A										
												ZYG11A										
												FLJ31662										
												LOC440600										
												LOC440602										
												BCL2L15										
												NUDT4P1										
												HIST2H2BF										
												ETV3L										
												LRRC52										
												LOC440700										
												LOC440704										
												C1orf186										
												TRIM67										
												H3F3AP4										
												GTF2IP20										
												ANKRD65										
												PRAMEF7										
												PRAMEF25										
												PGCP1										
												NBPF18P										
												OR10J3										
												MIR135B										
												KPRP										
												LCE6A										
												SUMO1P3										
												GEMIN8P4										
												RBMXL1										
												LURAP1										
												PEF1										
												MIR429										
												LINC00862										
												FAM72C										
												DUSP5P1										
												SERTAD4-AS1										
												ADAMTSL4-AS1										
												C1orf145										
												PRR9										
												IBA57-AS1										
												MIR488										
												CYB5RL										
												SNORD74										
												SSBP3-AS1										
												RPL31P11										
												MGAT4EP										
												MIR205HG										
												SPATA42										
												FLVCR1-AS1										
												CYMP										
												KIAA0754										
												LOC643355										
												LOC643441										
												LYPLAL1-AS1										
												LINC01128										
												TMEM88B										
												FNDC10										
												RPS14P3										
												LINC00622										
												PPIAL4G										
												FAM231D										
												NBPF13P										
												ACTG1P20										
												PIK3CD-AS1										
												NFIA-AS1										
												PPIAL4D										
												LOC645166										
												SNRPD2P2										
												PRAMEF26										
												PRAMEF33P										
												PRAMEF19										
												PRAMEF20										
												FAM138A										
												ASH1L-AS1										
												POU5F1P4										
												MT1HL1										
												S100A7L2										
												LACTBL1										
												LOC646268										
												LOC646471										
												LOC646626										
												SETSIP										
												EMBP1										
												SRGAP2B										
												ASCL5										
												ACTG1P4										
												PRAMEF34P										
												HNRNPCL3										
												ZBTB8A										
												NBPF6										
												LOC653160										
												SRGAP2C										
												PPIAL4A										
												GPR89A										
												PPIAL4C										
												HIST2H3D										
												PRAMEF22										
												PRAMEF15										
												WASH7P										
												FAM72B										
												PCP4L1										
												FAM138C										
												SCARNA3										
												SCARNA2										
												SCARNA4										
												SCARNA1										
												FAM138D										
												SNORA14B										
												SNORA36B										
												SNORA80E										
												SNORA44										
												SNORA55										
												SNORA61										
												SNORA77										
												SNORA59A										
												SNORA16A										
												SNORD45C										
												SNORA16B										
												SNORD75										
												SNORD76										
												SNORD77										
												SNORD78										
												SNORD103C										
												SNORD99										
												SNORD103A										
												MIR551A										
												MIR552										
												MIR553										
												MIR554										
												MIR555										
												MIR556										
												MIR557										
												MIR92B										
												C1orf195										
												ZBTB8B										
												LINC01137										
												PPIEL										
												TGFB2-AS1										
												CCDC30										
												CDK11A										
												SLC35E2B										
												LINC01346										
												FAM72D										
												NBPF8										
												LINC00623										
												RPS15AP10										
												LOC728989										
												FAAHP1										
												C1orf234										
												HSD52										
												PRAMEF14										
												FAM72A										
												FAM231A										
												FAM231C										
												FLJ37453										
												LOC729737										
												OR4F29										
												LOC729867										
												LOC729930										
												LOC729970										
												LOC729987										
												LOC730102										
												LOC730159										
												LINC01136										
												PPIAL4E										
												LINC01348										
												PFN1P2										
												MIR765										
												PDZK1P1										
												MIR942										
												MIR190B										
												MIR760										
												MIR921										
												FAM229A										
												C1orf132										
												LINC01349										
												LOC100129046										
												BTNL10										
												LOC100129138										
												MATN1-AS1										
												LINC01160										
												C1orf68										
												MSTO2P										
												LOC100129534										
												LOC100129620										
												LOC100129924										
												EFCAB14-AS1										
												LOC100130417										
												NFYC-AS1										
												LINC01135										
												LOC100131107										
												TSTD1										
												RPL21P28										
												MIR181A1HG										
												CCDC18-AS1										
												CADM3-AS1										
												LOC100132057										
												LOC100132062										
												FOXO6										
												LOC100132111										
												LOC100132147										
												NBPF10										
												FCGR1CP										
												ZRANB2-AS1										
												KDM4A-AS1										
												FAM231B										
												LOC100133331										
												LINC01134										
												LOC100147773										
												RNA5S1										
												RNA5S2										
												RNA5S3										
												RNA5S4										
												RNA5S5										
												RNA5S6										
												RNA5S7										
												RNA5S9										
												RNA5S10										
												RNA5S11										
												RNA5S12										
												RNA5S13										
												RNA5S14										
												RNA5S15										
												RNA5S16										
												RNA5S17										
												C2CD4D										
												DDX11L1										
												LOC100287497										
												AP4B1-AS1										
												LINC00582										
												TTC34										
												LGALS8-AS1										
												GM140										
												LOC100288069										
												GS1-279B7.1										
												NBPF20										
												HYDIN2										
												GNG12-AS1										
												LINC00624										
												MIR320B1										
												MIR1182										
												MIR1537										
												MIR548N										
												MIR1256										
												MIR1231										
												MIR548F3										
												MIR1278										
												MIR1295A										
												MIR1976										
												MIR664A										
												MIR1290										
												MIR1302-2										
												MIR1262										
												RASAL2-AS1										
												LINC00184										
												TSNAX-DISC1										
												MIR320B2										
												MIR1255B2										
												MIR761										
												NPPA-AS1										
												ZBED6										
												LOC100422212										
												MIR1302-9										
												MIR1302-10										
												MIR3119-1										
												MIR4259										
												MIR3115										
												MIR3117										
												MIR3120										
												MIR4260										
												MIR4255										
												MIR3116-1										
												MIR4253										
												MIR1302-11										
												MIR3116-2										
												MIR3122										
												MIR4251										
												MIR1273D										
												MIR4252										
												MIR4256										
												MIR4257										
												MIR3119-2										
												MIR4258										
												MIR4254										
												MIR3121										
												MIR3659										
												MIR3917										
												MIR3620										
												MIR3658										
												MIR3605										
												MIR3671										
												MIR3675										
												LINC01133										
												LOC100505666										
												SPATA1										
												LINC01364										
												LOC100505795										
												LOC100505824										
												PROX1-AS1										
												LOC100505887										
												LOC100505918										
												ENO1-AS1										
												RTCA-AS1										
												LOC100506022										
												LOC100506023										
												GAS5-AS1										
												TMEM35B										
												TAF1A-AS1										
												FAM212B-AS1										
												SLC16A1-AS1										
												ITPKB-IT1										
												PCAT6										
												LOC100506730										
												LOC100506747										
												LINC01353										
												LINC01354										
												LOC100506801										
												LINC01132										
												TCEB3-AS1										
												LOC100506985										
												SLFNL1-AS1										
												MKNK1-AS1										
												LOC100507564										
												LOC100507634										
												LOC100507670										
												APITD1-CORT										
												FPGT-TNNI3K										
												GJA9-MYCBP										
												MROH7-TTC4										
												PMF1-BGLAP										
												LHX4-AS1										
												TMEM56-RWDD3										
												MINOS1-NBL1										
												TNFAIP8L2-SCNM1										
												MIR4695										
												MIR4428										
												MIR1273G										
												MIR1273F										
												MIR4420										
												MIR4419A										
												MIR3972										
												MIR4421										
												MIR4753										
												MIR4454										
												MIR4422										
												MIR4666A										
												MIR4781										
												MIR378G										
												MIR4424										
												MIR4794										
												MIR4426										
												MIR4735										
												MIR4425										
												MIR4671										
												MIR548AC										
												MIR4654										
												MIR4427										
												MIR4684										
												MIR4711										
												MIR4689										
												MIR5096										
												MIR4418										
												MIR4632										
												MIR2682										
												MIR5095										
												MIR4742										
												MIR4423										
												MIR4417										
												MIR378F										
												DNM3OS										
												RCAN3AS										
												MIR1295B										
												MIR5581										
												MIR5585										
												MIR5698										
												MIR5087										
												MIR5191										
												MIR5697										
												MIR5008										
												MIR5584										
												MIR5187										
												NEGR1-IT1										
												ZRANB2-AS2										
												LINC00538										
												PINK1-AS										
												SRGAP2-AS1										
												HLX-AS1										
												DPYD-AS1										
												DPYD-AS2										
												MTOR-AS1										
												VAV3-AS1										
												IPO9-AS1										
												KCNC4-AS1										
												KCND3-AS1										
												FALEC										
												UBE2Q1-AS1										
												LINC00853										
												HAO2-IT1										
												ERI3-IT1										
												DNM3-IT1										
												KCND3-IT1										
												AGBL4-IT1										
												LINC00210										
												LOC100996251										
												LOC100996263										
												FOXD3-AS1										
												LINC01355										
												NFIA-AS2										
												LOC100996583										
												LOC100996630										
												LOC100996635										
												LINC01356										
												SRGAP2D										
												HNRNPCL4										
												LAMTOR5-AS1										
												RNVU1-8										
												BLACAT1										
												DAB1-AS1										
												LINC01358										
												LOC101926944										
												LOC101926964										
												ROR1-AS1										
												LINC01359										
												LOC101927139										
												LOC101927143										
												LOC101927164										
												DEPDC1-AS1										
												LOC101927244										
												LINC01360										
												ERICH3-AS1										
												LOC101927342										
												LOC101927412										
												LOC101927429										
												LOC101927434										
												LOC101927468										
												LOC101927478										
												LINC01361										
												LOC101927532										
												LOC101927560										
												LOC101927587										
												LOC101927604										
												LOC101927683										
												LOC101927765										
												LOC101927787										
												LOC101927844										
												LOC101927851										
												LOC101927876										
												GBAT2										
												PKN2-AS1										
												LOC101927895										
												LOC101928009										
												UBXN10-AS1										
												LOC101928034										
												LOC101928043										
												LINC01057										
												LOC101928098										
												LOC101928118										
												LOC101928120										
												LOC101928163										
												LOC101928177										
												LOC101928241										
												LOC101928270										
												LOC101928303										
												LOC101928324										
												LOC101928370										
												LOC101928372										
												LOC101928404										
												LOC101928436										
												LOC101928460										
												LOC101928476										
												LINC01363										
												LOC101928565										
												LOC101928596										
												LOC101928626										
												LOC101928650										
												LOC101928673										
												LOC101928696										
												LOC101928718										
												LOC101928728										
												LOC101928751										
												LOC101928778										
												HIPK1-AS1										
												LOC101928973										
												LOC101928977										
												LOC101928979										
												LOC101928995										
												LOC101929023										
												PIK3CD-AS2										
												LINC01350										
												LOC101929099										
												LINC01351										
												LOC101929147										
												LOC101929181										
												LINC01031										
												LOC101929224										
												LOC101929406										
												LOC101929441										
												LOC101929464										
												LOC101929516										
												LOC101929536										
												LOC101929541										
												LOC101929565										
												LOC101929592										
												LOC101929626										
												LOC101929631										
												LINC01398										
												LOC101929721										
												LINC01352										
												LOC101929771										
												NBPF25P										
												LOC101929798										
												LOC101929901										
												LOC101929935										
												PRAMEF27										
												LOC101930114										
												RNVU1-4										
												RNVU1-14										
												RNVU1-15										
												RNVU1-20										
												RNVU1-17										
												RNVU1-3										
												RNVU1-1										
												RNU6-7										
												RNVU1-6										
												RNVU1-19										
												RNU6-8										
												LINC00970										
												MIR6068										
												MIR6079										
												MIR6084										
												MIR6723										
												MIR6726										
												MIR6727										
												MIR6728										
												MIR6731										
												MIR6732										
												MIR6733										
												MIR6735										
												MIR6737										
												MIR6738										
												MIR6740										
												MIR6742										
												MIR6878										
												MIR7641-2										
												MIR7846										
												MIR7852										
												MIR7856										
												MIR6859-2										
												MIR6859-3										
												MIR6736										
												MIR6769B										
												MIR6077										
												MIR6741										
												MIR6127										
												MIR6500										
												MIR6730										
												MIR6734										
												MIR6739										
												MIR6808										
												MIR6859-1										
												MIR8083										
												MIR6729										
												MIR7156										
												LOC102606465										
												LOC102723661										
												LOC102723727										
												LOC102723833										
												LOC102723886										
												LINC01389										
												TTC39A-AS1										
												LOC102724312										
												LOC102724450										
												LOC102724539										
												LOC102724552										
												CH17-408M7.1										
												LOC102724571										
												LOC102724601										
												LOC102724659										
												LOC102724661										
												LOC102724919										
												LINC01032										
												LINC01222										
												LOC103021295										
												LOC103021296										
												LOC103091866										
												TGFB2-OT1										
												RNU6-2										
												LINC01461										
												SPATA17-AS1										
												PACERR										
												LINC01036										
												LINC01221										
												LINC01397										
												TXNDC12-AS1										
												LINC01307										
												LINC01525										
												DISC1-IT1										
												WARS2-IT1										
												LOC105371433										
												LOC105371458										
												LOC105372897										
												LOC105376736										
												LOC105376805										
												LOC105378591										
												LOC105378614										
												LOC105378663										
												LOC105378683										
												LOC105378732										
												LOC105378828										
												LOC105378853										
												LOC105378933										
												LOC105748977										
												LINC01037										
												MIR34AHG										
												SNORD128										
												SCARNA26A										
												SCARNA26B										
												SNORA103										
												SNORA110										
												POP3										
												SCARNA18B										
